,Area_Code,State,Occupation_Code,Occupation_Title,Total_Employment,Mean_Hourly_Income,Hourly_10th_Percentile,Hourly_25th_Percentile,Median_Hourly_Income,Hourly_75th_Percentile,Hourly_90th_Percentile,Mean_Annual_Income,Annual_10th_Percentile,Annual_25th_Percentile,Median_Annual_Income,Annual_75th_Percentile,Annual_90th_Percentile
2267,5,Arkansas,29-1171,Nurse Practitioners,**,50.88,39.83,43.36,48.81,57.45,63.49,"105,840","82,840","90,190","101,520","119,490","132,070"
2268,5,Arkansas,29-1181,Audiologists,200,*,*,*,*,*,*,*,*,*,*,*,*
2269,5,Arkansas,29-1211,Anesthesiologists,**,116.21,85.42,92.43,#,#,#,"241,710","177,670","192,260",#,#,#
2270,5,Arkansas,29-1215,Family Medicine Physicians,"1,310",105.23,28.78,70.97,#,#,#,"218,870","59,870","147,620",#,#,#
2271,5,Arkansas,29-1216,General Internal Medicine Physicians,130,70.62,25.56,28.07,37.65,#,#,"146,900","53,160","58,390","78,320",#,#
2272,5,Arkansas,29-1218,Obstetricians and Gynecologists,80,97.62,46.70,70.32,82.04,#,#,"203,050","97,150","146,260","170,640",#,#
2273,5,Arkansas,29-1221,"Pediatricians, General",100,96.77,40.08,66.91,91.23,#,#,"201,280","83,370","139,180","189,750",#,#
2274,5,Arkansas,29-1223,Psychiatrists,160,86.93,25.59,28.30,83.93,#,#,"180,820","53,230","58,870","174,580",#,#
2275,5,Arkansas,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric","3,170",83.87,25.85,29.04,68.14,#,#,"174,440","53,760","60,410","141,720",#,#
2276,5,Arkansas,29-1248,"Surgeons, Except Ophthalmologists",170,119.41,62.71,90.10,#,#,#,"248,380","130,440","187,410",#,#,#
2277,5,Arkansas,29-1292,Dental Hygienists,"1,550",32.41,16.06,26.26,34.22,39.48,45.88,"67,410","33,400","54,630","71,190","82,120","95,440"
2278,5,Arkansas,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",240,*,*,*,*,*,*,*,*,*,*,*,*
2279,5,Arkansas,29-2010,Clinical Laboratory Technologists and Technicians,"2,390",21.20,12.46,15.43,20.11,26.42,32.17,"44,100","25,920","32,100","41,830","54,950","66,920"
2280,5,Arkansas,29-2031,Cardiovascular Technologists and Technicians,540,25.12,12.50,18.10,25.04,31.57,37.73,"52,260","26,000","37,660","52,080","65,670","78,490"
2281,5,Arkansas,29-2032,Diagnostic Medical Sonographers,420,31.75,22.87,26.55,30.85,36.74,43.21,"66,030","47,570","55,230","64,170","76,420","89,870"
2282,5,Arkansas,29-2033,Nuclear Medicine Technologists,210,33.62,25.18,28.19,33.34,38.25,44.77,"69,920","52,380","58,640","69,340","79,560","93,130"
2283,5,Arkansas,29-2034,Radiologic Technologists and Technicians,"2,300",23.93,16.33,19.34,23.03,28.55,33.99,"49,770","33,970","40,230","47,900","59,380","70,690"
2284,5,Arkansas,29-2035,Magnetic Resonance Imaging Technologists,330,28.74,20.34,23.18,28.44,34.22,38.01,"59,780","42,310","48,210","59,150","71,180","79,060"
2285,5,Arkansas,29-2040,Emergency Medical Technicians and Paramedics,"1,740",16.66,9.50,11.54,15.66,21.49,24.53,"34,660","19,750","24,000","32,570","44,690","51,030"
2286,5,Arkansas,29-2051,Dietetic Technicians,100,12.89,9.61,10.47,11.88,14.34,17.81,"26,810","19,990","21,780","24,710","29,820","37,040"
2287,5,Arkansas,29-2052,Pharmacy Technicians,"4,880",14.87,10.78,12.40,14.24,17.12,19.69,"30,930","22,410","25,790","29,610","35,620","40,950"
2288,5,Arkansas,29-2053,Psychiatric Technicians,690,14.08,10.37,11.80,13.61,15.45,18.47,"29,290","21,570","24,540","28,310","32,140","38,410"
2289,5,Arkansas,29-2055,Surgical Technologists,"1,310",19.95,13.13,15.93,19.69,23.42,27.97,"41,510","27,310","33,140","40,960","48,710","58,180"
2290,5,Arkansas,29-2056,Veterinary Technologists and Technicians,450,15.21,10.34,12.45,14.70,17.43,21.18,"31,630","21,510","25,900","30,580","36,250","44,050"
2291,5,Arkansas,29-2057,Ophthalmic Medical Technicians,440,15.89,11.77,13.19,15.09,18.54,22.07,"33,060","24,480","27,430","31,390","38,550","45,900"
2292,5,Arkansas,29-2061,Licensed Practical and Licensed Vocational Nurses,"11,810",19.59,15.22,16.91,19.44,22.54,24.57,"40,760","31,660","35,180","40,440","46,880","51,100"
2293,5,Arkansas,29-2081,"Opticians, Dispensing",670,18.30,11.67,13.53,17.36,23.32,27.16,"38,070","24,270","28,130","36,100","48,500","56,490"
2294,5,Arkansas,29-2091,Orthotists and Prosthetists,80,28.91,12.02,20.88,27.76,36.39,45.99,"60,120","25,000","43,420","57,750","75,690","95,660"
2295,5,Arkansas,29-2092,Hearing Aid Specialists,**,21.65,14.69,16.48,18.81,27.53,32.70,"45,030","30,560","34,280","39,130","57,260","68,020"
2296,5,Arkansas,29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","2,840",18.96,11.62,13.80,17.34,22.42,28.08,"39,440","24,180","28,710","36,070","46,640","58,400"
2297,5,Arkansas,29-9091,Athletic Trainers,190,*,*,*,*,*,*,"49,930","32,890","39,980","48,100","58,250","71,990"
2298,5,Arkansas,29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",530,19.00,10.29,13.07,15.05,21.99,35.46,"39,510","21,410","27,190","31,300","45,730","73,770"
2300,5,Arkansas,31-1120,Home Health and Personal Care Aides,"21,080",10.83,9.19,9.53,10.45,11.66,12.82,"22,520","19,120","19,810","21,730","24,250","26,670"
2301,5,Arkansas,31-1131,Nursing Assistants,"17,390",12.48,9.86,10.78,12.32,14.04,15.21,"25,950","20,510","22,410","25,630","29,200","31,630"
2302,5,Arkansas,31-1132,Orderlies,520,12.97,9.48,9.97,11.42,14.11,19.37,"26,980","19,730","20,750","23,750","29,340","40,290"
2303,5,Arkansas,31-1133,Psychiatric Aides,280,11.95,9.03,9.56,11.33,13.89,15.69,"24,850","18,790","19,880","23,560","28,890","32,630"
2304,5,Arkansas,31-2011,Occupational Therapy Assistants,320,29.80,21.11,25.64,30.53,34.95,37.94,"61,990","43,910","53,320","63,490","72,700","78,910"
2305,5,Arkansas,31-2021,Physical Therapist Assistants,"1,370",28.45,19.61,23.80,28.34,33.97,38.59,"59,180","40,790","49,490","58,940","70,660","80,270"
2306,5,Arkansas,31-2022,Physical Therapist Aides,300,12.36,9.47,10.00,12.05,14.26,15.96,"25,710","19,710","20,810","25,060","29,670","33,190"
2307,5,Arkansas,31-9011,Massage Therapists,430,20.06,10.10,13.76,20.30,24.84,28.78,"41,720","21,000","28,630","42,230","51,670","59,860"
2308,5,Arkansas,31-9091,Dental Assistants,"2,780",17.02,12.47,14.45,17.07,19.69,22.70,"35,400","25,930","30,050","35,500","40,960","47,210"
2309,5,Arkansas,31-9092,Medical Assistants,"3,850",14.88,10.74,12.55,14.43,17.20,19.47,"30,950","22,350","26,100","30,020","35,770","40,510"
2310,5,Arkansas,31-9093,Medical Equipment Preparers,310,15.71,11.82,13.01,14.95,17.95,20.87,"32,680","24,590","27,060","31,100","37,340","43,420"
2311,5,Arkansas,31-9094,Medical Transcriptionists,480,15.82,11.31,13.02,15.33,18.23,21.27,"32,910","23,520","27,080","31,890","37,920","44,240"
2312,5,Arkansas,31-9095,Pharmacy Aides,220,13.12,9.47,9.92,11.23,14.46,20.20,"27,290","19,710","20,640","23,360","30,070","42,010"
2313,5,Arkansas,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,950,13.74,10.00,11.25,13.42,15.98,18.35,"28,580","20,800","23,400","27,920","33,240","38,160"
2314,5,Arkansas,31-9097,Phlebotomists,850,14.58,10.42,12.20,14.33,16.80,19.09,"30,330","21,670","25,370","29,810","34,940","39,710"
2315,5,Arkansas,31-9099,"Healthcare Support Workers, All Other",710,18.73,9.94,12.51,17.67,22.97,29.99,"38,960","20,680","26,020","36,740","47,770","62,380"
2384,5,Arkansas,41-1011,First-Line Supervisors of Retail Sales Workers,"12,610",18.56,10.68,13.42,17.14,22.16,28.34,"38,590","22,210","27,910","35,640","46,100","58,950"
2385,5,Arkansas,41-1012,First-Line Supervisors of Non-Retail Sales Workers,"2,490",36.65,14.97,23.63,31.20,45.75,65.70,"76,240","31,140","49,160","64,900","95,160","136,660"
2386,5,Arkansas,41-2011,Cashiers,"29,120",10.73,9.14,9.43,10.07,11.54,13.29,"22,310","19,000","19,600","20,950","23,990","27,650"
2387,5,Arkansas,41-2021,Counter and Rental Clerks,"4,600",13.19,9.19,9.69,11.44,15.05,19.98,"27,430","19,120","20,150","23,790","31,300","41,570"
2388,5,Arkansas,41-2022,Parts Salespersons,"3,400",14.45,9.46,10.65,13.39,16.80,20.94,"30,050","19,670","22,150","27,860","34,950","43,560"
2389,5,Arkansas,41-2031,Retail Salespersons,"38,330",12.73,9.23,9.64,10.99,13.58,18.45,"26,480","19,200","20,060","22,850","28,240","38,380"
2390,5,Arkansas,41-3011,Advertising Sales Agents,"1,010",22.26,9.58,13.19,17.74,27.92,37.31,"46,300","19,920","27,430","36,890","58,080","77,610"
2391,5,Arkansas,41-3021,Insurance Sales Agents,"3,640",30.09,12.88,15.16,20.78,33.69,60.02,"62,580","26,780","31,530","43,230","70,070","124,830"
2392,5,Arkansas,41-3031,"Securities, Commodities, and Financial Services Sales Agents","1,610",33.39,14.60,17.58,23.94,35.03,64.70,"69,440","30,370","36,560","49,800","72,860","134,580"
2393,5,Arkansas,41-3041,Travel Agents,210,21.97,10.65,12.82,18.18,24.44,30.44,"45,710","22,160","26,650","37,820","50,840","63,310"
2394,5,Arkansas,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","4,870",26.83,10.85,15.09,22.93,33.19,48.87,"55,810","22,560","31,390","47,700","69,040","101,640"
2395,5,Arkansas,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","1,900",33.60,12.99,17.13,29.38,43.10,60.20,"69,890","27,020","35,630","61,110","89,640","125,220"
2396,5,Arkansas,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","12,270",31.65,12.19,17.73,25.11,38.04,59.74,"65,830","25,350","36,880","52,230","79,120","124,260"
2397,5,Arkansas,41-9011,Demonstrators and Product Promoters,**,13.69,9.40,10.55,12.08,15.40,21.07,"28,470","19,540","21,950","25,130","32,020","43,820"
2398,5,Arkansas,41-9021,Real Estate Brokers,290,29.81,10.25,13.77,24.19,29.08,44.94,"62,000","21,320","28,640","50,320","60,500","93,480"
2399,5,Arkansas,41-9022,Real Estate Sales Agents,830,24.31,9.38,10.34,18.46,29.40,49.41,"50,570","19,520","21,500","38,410","61,140","102,780"
2400,5,Arkansas,41-9031,Sales Engineers,230,47.85,26.61,36.08,45.77,59.90,71.58,"99,530","55,350","75,050","95,200","124,590","148,890"
2401,5,Arkansas,41-9041,Telemarketers,"1,950",11.27,8.97,9.30,9.90,11.90,15.16,"23,430","18,660","19,350","20,590","24,760","31,530"
2738,6,California,15-1211,Computer Systems Analysts,"64,260",53.28,31.02,40.05,51.71,64.69,79.12,"110,820","64,520","83,310","107,550","134,550","164,570"
2739,6,California,15-1212,Information Security Analysts,"9,200",55.11,29.66,41.51,53.91,68.15,82.01,"114,620","61,680","86,330","112,130","141,740","170,570"
2740,6,California,15-1221,Computer and Information Research Scientists,"7,370",67.32,34.34,49.36,64.73,82.00,99.28,"140,020","71,430","102,670","134,650","170,570","206,510"
2741,6,California,15-1231,Computer Network Support Specialists,"16,860",36.13,20.53,26.46,34.24,44.47,56.01,"75,150","42,700","55,050","71,220","92,510","116,500"
2742,6,California,15-1232,Computer User Support Specialists,"81,230",33.68,18.90,24.02,31.45,42.02,51.07,"70,060","39,300","49,960","65,410","87,400","106,230"
2743,6,California,15-1241,Computer Network Architects,"18,210",61.59,30.85,43.26,60.38,77.23,94.47,"128,100","64,160","89,980","125,590","160,640","196,500"
2744,6,California,15-1244,Network and Computer Systems Administrators,"33,630",47.83,28.09,35.76,45.75,58.22,72.54,"99,480","58,420","74,390","95,160","121,090","150,880"
2745,6,California,15-1245,Database Administrators and Architects,"13,530",51.31,26.57,35.34,48.83,65.31,78.63,"106,720","55,280","73,510","101,560","135,840","163,550"
2746,6,California,15-1251,Computer Programmers,"24,400",49.90,29.25,38.24,48.61,61.44,74.62,"103,790","60,840","79,540","101,110","127,800","155,210"
2747,6,California,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,"249,620",64.60,37.43,48.77,62.71,77.75,94.94,"134,370","77,840","101,450","130,440","161,730","197,470"
2748,6,California,15-1257,Web Developers and Digital Interface Designers,"20,920",43.38,20.27,27.92,39.17,56.77,74.02,"90,230","42,160","58,080","81,470","118,090","153,970"
2749,6,California,15-1299,"Computer Occupations, All Other","83,270",50.28,23.49,32.64,46.92,63.08,80.78,"104,580","48,850","67,900","97,600","131,210","168,020"
2750,6,California,15-2011,Actuaries,"1,630",56.51,34.89,42.35,53.69,65.91,83.09,"117,530","72,560","88,090","111,680","137,090","172,830"
2751,6,California,15-2021,Mathematicians,550,51.22,32.68,42.68,50.33,60.45,69.05,"106,540","67,980","88,770","104,680","125,730","143,630"
2752,6,California,15-2031,Operations Research Analysts,"10,000",48.63,26.89,33.93,45.79,60.45,75.94,"101,150","55,930","70,570","95,250","125,730","157,950"
2753,6,California,15-2041,Statisticians,"4,930",53.00,29.75,38.86,51.61,64.47,78.11,"110,240","61,880","80,820","107,360","134,090","162,480"
2754,6,California,15-2098,"Data Scientists and Mathematical Science Occupations, All Other","4,690",55.45,31.72,38.17,50.95,71.14,86.49,"115,340","65,980","79,380","105,980","147,970","179,900"
2855,6,California,23-1011,Lawyers,"83,750",83.64,36.35,49.68,75.21,#,#,"173,970","75,610","103,340","156,430",#,#
2856,6,California,23-1012,Judicial Law Clerks,"3,060",31.12,19.75,26.63,32.22,36.51,38.94,"64,730","41,080","55,390","67,020","75,940","80,990"
2857,6,California,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers","1,800",58.13,31.85,41.15,63.71,72.62,77.80,"120,900","66,250","85,590","132,520","151,040","161,820"
2858,6,California,23-1022,"Arbitrators, Mediators, and Conciliators",560,48.88,20.73,27.55,49.15,62.49,77.19,"101,680","43,120","57,290","102,240","129,980","160,560"
2859,6,California,23-1023,"Judges, Magistrate Judges, and Magistrates","1,690",88.62,45.98,90.84,96.23,#,#,"184,340","95,630","188,950","200,150",#,#
2860,6,California,23-2011,Paralegals and Legal Assistants,"35,040",29.72,15.60,20.61,27.94,36.99,46.80,"61,810","32,450","42,870","58,110","76,950","97,350"
2861,6,California,23-2093,"Title Examiners, Abstractors, and Searchers","3,510",28.05,16.21,21.67,27.45,33.48,39.33,"58,340","33,720","45,070","57,100","69,650","81,810"
2862,6,California,23-2099,"Legal Support Workers, All Other","8,140",27.15,12.68,18.30,24.64,32.32,44.20,"56,470","26,370","38,070","51,240","67,230","91,940"
2864,6,California,25-1011,"Business Teachers, Postsecondary","5,470",*,*,*,*,*,*,"126,520","56,590","84,280","120,770","156,190","200,310"
2865,6,California,25-1021,"Computer Science Teachers, Postsecondary","2,200",*,*,*,*,*,*,"135,700","56,170","84,050","121,730","169,650",#
2866,6,California,25-1022,"Mathematical Science Teachers, Postsecondary","5,460",*,*,*,*,*,*,"126,550","54,960","80,000","115,650","155,570",#
2867,6,California,25-1031,"Architecture Teachers, Postsecondary",440,*,*,*,*,*,*,"116,570","42,420","69,220","101,430","150,670","205,840"
2868,6,California,25-1032,"Engineering Teachers, Postsecondary","2,470",*,*,*,*,*,*,"127,290","62,540","90,570","122,160","156,560","197,060"
2869,6,California,25-1041,"Agricultural Sciences Teachers, Postsecondary",330,*,*,*,*,*,*,"103,260","42,760","61,660","97,670","131,240","175,880"
2870,6,California,25-1042,"Biological Science Teachers, Postsecondary","3,590",*,*,*,*,*,*,"128,580","58,900","85,340","120,670","162,350","203,920"
2871,6,California,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",110,*,*,*,*,*,*,"134,040","54,240","80,840","123,830","176,770",#
2872,6,California,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","1,420",*,*,*,*,*,*,"126,590","64,600","87,280","115,560","158,050","202,500"
2873,6,California,25-1052,"Chemistry Teachers, Postsecondary","1,620",*,*,*,*,*,*,"119,030","51,040","77,230","111,280","149,320","192,670"
2874,6,California,25-1053,"Environmental Science Teachers, Postsecondary",580,*,*,*,*,*,*,"136,250","61,240","84,870","114,860","172,940",#
2875,6,California,25-1054,"Physics Teachers, Postsecondary",910,*,*,*,*,*,*,"126,480","56,660","85,190","119,700","159,810","201,800"
2876,6,California,25-1061,"Anthropology and Archeology Teachers, Postsecondary",620,*,*,*,*,*,*,"124,800","61,990","86,940","118,180","154,060","193,460"
2877,6,California,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","1,120",*,*,*,*,*,*,"100,180","42,160","59,770","87,600","122,190","185,280"
2878,6,California,25-1063,"Economics Teachers, Postsecondary",690,*,*,*,*,*,*,"146,410","63,970","90,810","132,820","185,520",#
2879,6,California,25-1064,"Geography Teachers, Postsecondary",250,*,*,*,*,*,*,"118,560","50,240","95,620","121,580","146,180","164,580"
2880,6,California,25-1065,"Political Science Teachers, Postsecondary","1,010",*,*,*,*,*,*,"132,950","57,010","85,960","117,940","159,960",#
2881,6,California,25-1066,"Psychology Teachers, Postsecondary","4,980",*,*,*,*,*,*,"116,330","50,860","69,120","107,860","148,490","196,070"
2882,6,California,25-1067,"Sociology Teachers, Postsecondary",910,*,*,*,*,*,*,"113,860","49,580","71,340","104,240","145,520","183,300"
2883,6,California,25-1069,"Social Sciences Teachers, Postsecondary, All Other","2,050",*,*,*,*,*,*,"124,680","39,850","69,750","109,570","174,180",#
2884,6,California,25-1071,"Health Specialties Teachers, Postsecondary","9,180",*,*,*,*,*,*,"117,800","54,490","73,830","105,630","147,830","198,460"
2885,6,California,25-1072,"Nursing Instructors and Teachers, Postsecondary","3,970",*,*,*,*,*,*,"101,930","42,310","64,230","95,170","129,160","164,010"
2886,6,California,25-1081,"Education Teachers, Postsecondary","3,170",*,*,*,*,*,*,"91,190","42,510","54,780","84,320","123,720","155,100"
2887,6,California,25-1082,"Library Science Teachers, Postsecondary",270,*,*,*,*,*,*,"109,060","57,080","73,890","101,010","141,800","162,420"
2888,6,California,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary","1,250",*,*,*,*,*,*,"120,550","44,850","71,520","117,750","153,060","196,890"
2889,6,California,25-1112,"Law Teachers, Postsecondary","1,540",*,*,*,*,*,*,"143,660","38,580","64,690","132,520","196,820",#
2890,6,California,25-1113,"Social Work Teachers, Postsecondary",480,*,*,*,*,*,*,"84,230","64,750","70,140","79,080","96,760","117,700"
2891,6,California,25-1121,"Art, Drama, and Music Teachers, Postsecondary","9,990",*,*,*,*,*,*,"111,970","40,070","55,620","98,950","147,860","200,730"
2892,6,California,25-1122,"Communications Teachers, Postsecondary","2,170",*,*,*,*,*,*,"129,220","68,280","90,460","120,510","157,060","200,160"
2893,6,California,25-1123,"English Language and Literature Teachers, Postsecondary","6,820",*,*,*,*,*,*,"121,450","53,720","80,260","114,630","151,710","194,500"
2894,6,California,25-1124,"Foreign Language and Literature Teachers, Postsecondary","3,040",*,*,*,*,*,*,"106,190","51,150","60,130","99,860","139,280","169,230"
2895,6,California,25-1125,"History Teachers, Postsecondary","1,380",*,*,*,*,*,*,"117,870","52,450","76,440","109,730","146,150","184,840"
2896,6,California,25-1126,"Philosophy and Religion Teachers, Postsecondary","2,940",*,*,*,*,*,*,"136,460","54,280","74,600","107,440","168,520",#
2897,6,California,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",280,*,*,*,*,*,*,"134,700","52,960","75,700","111,530","168,520",#
2898,6,California,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary","2,150",*,*,*,*,*,*,"114,660","52,550","81,610","108,990","144,140","180,110"
2899,6,California,25-1194,"Career/Technical Education Teachers, Postsecondary","10,540",40.12,18.45,24.40,37.89,52.15,67.99,"83,450","38,370","50,740","78,810","108,460","141,420"
2900,6,California,25-1199,"Postsecondary Teachers, All Other","68,650",*,*,*,*,*,*,"94,540","49,350","59,150","91,270","124,710","152,280"
2901,6,California,25-2011,"Preschool Teachers, Except Special Education","53,290",18.27,12.30,13.86,16.83,21.24,25.83,"37,990","25,590","28,820","35,000","44,170","53,720"
2902,6,California,25-2012,"Kindergarten Teachers, Except Special Education","9,870",*,*,*,*,*,*,"73,480","40,160","52,240","72,560","91,770","105,590"
2903,6,California,25-2021,"Elementary School Teachers, Except Special Education","164,910",*,*,*,*,*,*,"82,560","51,900","63,570","83,360","99,160","117,650"
2904,6,California,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","39,780",*,*,*,*,*,*,"80,160","53,300","63,430","80,130","95,980","107,760"
2905,6,California,25-2023,"Career/Technical Education Teachers, Middle School",360,*,*,*,*,*,*,"59,880","28,180","33,100","49,620","67,410","132,270"
2906,6,California,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","109,840",*,*,*,*,*,*,"85,080","56,560","69,850","87,120","99,950","115,360"
2907,6,California,25-2032,"Career/Technical Education Teachers, Secondary School","3,100",*,*,*,*,*,*,"81,810","62,050","70,120","79,010","93,860","108,010"
2908,6,California,25-2051,"Special Education Teachers, Preschool",660,*,*,*,*,*,*,"52,670","30,990","39,710","46,560","65,190","87,900"
2909,6,California,25-2052,"Special Education Teachers, Kindergarten and Elementary School","15,320",*,*,*,*,*,*,"78,440","43,970","58,540","77,470","98,000","118,210"
2910,6,California,25-2057,"Special Education Teachers, Middle School","3,010",*,*,*,*,*,*,"75,980","47,950","60,340","76,590","92,950","103,140"
2911,6,California,25-2058,"Special Education Teachers, Secondary School","9,750",*,*,*,*,*,*,"83,000","53,450","68,510","84,540","98,930","113,700"
2912,6,California,25-2059,"Special Education Teachers, All Other","7,420",*,*,*,*,*,*,"66,760","36,520","46,410","62,980","87,660","99,010"
2913,6,California,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","8,670",41.16,25.60,32.93,40.01,49.14,59.00,"85,600","53,250","68,480","83,230","102,200","122,720"
2914,6,California,25-3021,Self-Enrichment Teachers,"32,210",22.50,12.28,14.43,19.27,27.10,37.92,"46,810","25,540","30,020","40,070","56,370","78,860"
2915,6,California,25-3031,"Substitute Teachers, Short-Term","103,210",20.03,14.10,16.19,18.41,22.61,28.23,"41,650","29,330","33,680","38,300","47,020","58,710"
2916,6,California,25-3097,"Tutors and Teachers and Instructors, All Other","69,720",*,*,*,*,*,*,"54,120","25,300","29,540","39,250","73,390","101,600"
2917,6,California,25-4011,Archivists,520,33.51,20.23,25.32,31.11,38.72,47.91,"69,700","42,090","52,660","64,700","80,550","99,650"
2918,6,California,25-4012,Curators,"1,320",33.52,18.55,24.86,30.56,41.73,49.03,"69,720","38,590","51,710","63,560","86,800","101,990"
2919,6,California,25-4013,Museum Technicians and Conservators,"2,030",23.97,13.43,16.60,23.15,28.96,36.06,"49,850","27,940","34,530","48,160","60,240","75,010"
2920,6,California,25-4022,Librarians and Media Collections Specialists,"10,300",37.81,21.00,28.38,36.90,46.46,56.37,"78,650","43,690","59,030","76,760","96,630","117,250"
2921,6,California,25-4031,Library Technicians,"11,220",22.31,14.49,18.30,21.91,25.52,30.30,"46,410","30,140","38,060","45,570","53,090","63,030"
2922,6,California,25-9021,Farm and Home Management Educators,90,30.86,14.27,17.98,25.22,35.81,64.76,"64,190","29,690","37,400","52,470","74,490","134,700"
2923,6,California,25-9031,Instructional Coordinators,"20,910",38.93,20.23,27.01,39.14,49.86,59.55,"80,970","42,080","56,180","81,410","103,710","123,860"
2924,6,California,25-9044,"Teaching Assistants, Postsecondary","23,920",*,*,*,*,*,*,"35,080","25,570","27,410","30,480","43,760","50,170"
2925,6,California,25-9045,"Teaching Assistants, Except Postsecondary","163,260",*,*,*,*,*,*,"36,200","25,720","29,540","35,380","41,950","48,780"
2926,6,California,25-9099,"Educational Instruction and Library Workers, All Other","35,680",27.07,13.00,16.61,23.68,33.48,47.49,"56,300","27,030","34,540","49,260","69,630","98,780"
2968,6,California,29-1011,Chiropractors,"3,250",34.56,18.70,25.63,30.32,37.54,53.12,"71,890","38,890","53,300","63,060","78,090","110,480"
2969,6,California,29-1021,"Dentists, General","16,220",74.84,33.92,47.67,66.07,91.35,#,"155,670","70,550","99,160","137,420","190,000",#
2970,6,California,29-1022,Oral and Maxillofacial Surgeons,690,106.82,32.92,36.92,#,#,#,"222,180","68,470","76,790",#,#,#
2971,6,California,29-1023,Orthodontists,420,105.97,27.87,61.87,#,#,#,"220,410","57,970","128,680",#,#,#
2972,6,California,29-1029,"Dentists, All Other Specialists",420,88.73,50.65,55.31,72.74,#,#,"184,560","105,350","115,040","151,300",#,#
2973,6,California,29-1031,Dietitians and Nutritionists,"7,880",37.04,22.68,31.61,37.76,44.49,49.40,"77,040","47,180","65,740","78,530","92,540","102,760"
2974,6,California,29-1041,Optometrists,"4,270",63.92,40.94,50.31,59.68,80.38,95.59,"132,950","85,150","104,640","124,130","167,190","198,840"
2975,6,California,29-1051,Pharmacists,"32,150",69.25,51.00,63.45,71.28,79.17,92.19,"144,050","106,080","131,970","148,270","164,680","191,760"
2976,6,California,29-1071,Physician Assistants,"10,890",61.31,37.98,51.53,59.99,72.87,87.02,"127,520","79,000","107,180","124,780","151,560","180,990"
2977,6,California,29-1081,Podiatrists,"1,020",49.06,19.04,26.04,38.59,68.14,90.73,"102,040","39,600","54,160","80,260","141,740","188,710"
2978,6,California,29-1122,Occupational Therapists,"10,060",47.33,33.31,40.62,47.75,56.20,61.93,"98,450","69,280","84,480","99,310","116,890","128,810"
2979,6,California,29-1123,Physical Therapists,"21,730",48.04,32.15,39.93,48.49,57.70,64.07,"99,920","66,880","83,050","100,860","120,020","133,260"
2980,6,California,29-1124,Radiation Therapists,"1,160",57.60,34.56,46.69,57.07,67.79,80.64,"119,800","71,880","97,110","118,710","141,000","167,730"
2981,6,California,29-1125,Recreational Therapists,"1,580",36.24,19.40,29.14,39.31,44.11,46.92,"75,370","40,350","60,620","81,770","91,750","97,580"
2982,6,California,29-1126,Respiratory Therapists,"16,650",40.35,27.72,33.15,39.62,47.99,56.21,"83,920","57,670","68,950","82,410","99,820","116,910"
2983,6,California,29-1127,Speech-Language Pathologists,"14,980",44.59,30.18,36.95,44.74,52.91,60.58,"92,740","62,780","76,860","93,060","110,050","126,000"
2984,6,California,29-1128,Exercise Physiologists,480,44.75,18.47,26.46,33.41,50.14,95.19,"93,080","38,410","55,040","69,500","104,290","197,990"
2985,6,California,29-1129,"Therapists, All Other",810,31.00,16.13,17.87,23.35,42.66,56.77,"64,470","33,550","37,170","48,560","88,730","118,090"
2986,6,California,29-1131,Veterinarians,"7,380",55.98,36.51,43.53,51.86,64.60,79.93,"116,440","75,930","90,550","107,880","134,370","166,250"
2987,6,California,29-1141,Registered Nurses,"302,770",54.44,34.24,42.59,53.18,66.22,78.76,"113,240","71,230","88,590","110,620","137,730","163,830"
2988,6,California,29-1151,Nurse Anesthetists,"1,270",109.28,61.39,85.06,#,#,#,"227,290","127,700","176,930",#,#,#
2989,6,California,29-1161,Nurse Midwives,690,74.28,49.64,62.30,76.74,89.98,98.14,"154,500","103,260","129,590","159,630","187,150","204,130"
2990,6,California,29-1171,Nurse Practitioners,"13,900",66.66,50.43,55.17,62.48,74.99,91.32,"138,660","104,890","114,750","129,960","155,980","189,950"
2991,6,California,29-1181,Audiologists,950,48.82,24.30,36.18,48.62,58.04,67.84,"101,540","50,550","75,250","101,130","120,720","141,110"
